mode,round,accuracy,precision,recall,f1,round_transfer_cost,cumulative_transfer_cost
local_only,1,0.9074074074074074,0.8867879746835443,0.8924050632911392,0.889578855186689,0,0
local_only,2,0.9126984126984127,0.8886230317999382,0.9050632911392404,0.8966899913515214,0,0
local_only,3,0.9126984126984127,0.8892414860681115,0.9050632911392404,0.8963808025177027,0,0
full_transfer,1,0.9047619047619048,0.8860759493670886,0.8860759493670886,0.8860759493670886,354,354
full_transfer,2,0.9365079365079365,0.9240506329113924,0.9240506329113924,0.9240506329113924,354,708
full_transfer,3,0.9153439153439153,0.8795180722891566,0.9240506329113924,0.9012345679012346,354,1062
output_layer_only,1,0.9074074074074074,0.8867879746835443,0.8924050632911392,0.889578855186689,34,34
output_layer_only,2,0.9153439153439153,0.8944652908067543,0.9050632911392404,0.8995925149345254,34,68
output_layer_only,3,0.9126984126984127,0.8885281385281385,0.9050632911392404,0.896295422369042,34,102
